epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,150.443,1.10578,0.85831,0.94845,0.95188,0.95652,0.94223,0.6505,1.18585,0.75045,0.99503,0.0011684,0.0011684,0.0011684
44,153.755,1.1866,0.81619,1.04203,0.99688,1,0.995,0.53345,1.38469,0.82578,1.05892,0.0011486,0.0011486,0.0011486
45,157.018,1.23886,0.8189,1.02641,0.9447,0.95652,0.95242,0.57625,1.45559,0.81862,1.06302,0.0011288,0.0011288,0.0011288
46,160.011,1.22387,0.79882,1.02402,0.98316,0.91304,0.97246,0.50599,1.5319,0.99955,1.14111,0.001109,0.001109,0.001109
47,163.085,1.18697,0.81856,1.02837,0.94888,0.95652,0.95303,0.5207,1.49426,0.81432,1.05781,0.0010892,0.0010892,0.0010892
48,166.088,1.19887,0.76088,1.02114,0.9944,1,0.995,0.56248,1.37026,0.8653,1.04435,0.0010694,0.0010694,0.0010694
49,169.076,1.18205,0.81148,1.05793,0.95089,0.95652,0.92501,0.62282,1.16284,0.70267,0.98565,0.0010496,0.0010496,0.0010496
50,172.366,1.25369,0.7606,1.077,0.99451,1,0.995,0.62558,1.24885,0.70488,0.98081,0.0010298,0.0010298,0.0010298
51,175.534,1.24504,0.81768,1.02881,0.9929,1,0.995,0.6045,1.27372,0.78608,0.9853,0.00101,0.00101,0.00101
52,178.55,1.10881,0.75546,1.00915,0.9426,0.95652,0.95422,0.65124,1.21597,0.73684,0.95509,0.0009902,0.0009902,0.0009902
53,181.595,1.19099,0.77939,1.01235,0.97018,1,0.995,0.6034,1.23551,0.82318,0.96317,0.0009704,0.0009704,0.0009704
54,184.631,1.15055,0.8005,0.99882,0.95237,1,0.99333,0.57386,1.30621,0.81689,1.01474,0.0009506,0.0009506,0.0009506
55,187.615,1.23625,0.7759,1.01273,0.99379,1,0.995,0.62302,1.20909,0.74534,0.96388,0.0009308,0.0009308,0.0009308
56,190.678,1.18149,0.80101,1.02372,0.93223,0.95652,0.9656,0.6248,1.22529,0.74664,0.95285,0.000911,0.000911,0.000911
57,193.953,1.07448,0.69242,0.92653,1,0.99274,0.995,0.50373,1.44126,0.93935,1.06609,0.0008912,0.0008912,0.0008912
58,197.437,1.20415,0.77479,1.01194,0.95393,0.95652,0.98865,0.57683,1.26088,0.82769,0.98703,0.0008714,0.0008714,0.0008714
59,201.126,1.18546,0.76407,1.04482,0.91108,1,0.9886,0.62602,1.19228,0.81491,1.00213,0.0008516,0.0008516,0.0008516
60,204.593,1.14174,0.75472,0.99139,0.95645,0.95495,0.97172,0.59348,1.2609,0.81195,1.00539,0.0008318,0.0008318,0.0008318
61,207.892,1.0448,0.68813,0.97703,0.95775,1,0.995,0.55418,1.31784,0.86036,1.03639,0.000812,0.000812,0.000812
62,211.272,1.12271,0.70162,1.016,0.95588,0.95652,0.95553,0.59785,1.27107,0.77144,1.01433,0.0007922,0.0007922,0.0007922
63,214.579,1.11599,0.7259,0.99527,0.9954,1,0.995,0.64146,1.24841,0.72479,0.99368,0.0007724,0.0007724,0.0007724
64,217.84,1.1127,0.69502,0.99522,0.99361,1,0.995,0.70273,1.13533,0.66459,0.96503,0.0007526,0.0007526,0.0007526
65,221.171,1.10259,0.70026,0.99125,0.99316,1,0.995,0.67552,1.12223,0.7001,0.96489,0.0007328,0.0007328,0.0007328
66,224.486,1.02868,0.7289,0.93202,0.99507,1,0.995,0.66237,1.16027,0.71264,0.97229,0.000713,0.000713,0.000713
67,227.628,1.17712,0.69973,1.02601,0.94975,0.95652,0.97371,0.6427,1.25728,0.68484,0.97421,0.0006932,0.0006932,0.0006932
68,230.876,1.12896,0.68798,1.01146,0.99433,1,0.995,0.62645,1.23434,0.69756,0.98047,0.0006734,0.0006734,0.0006734
69,234.174,1.10367,0.6797,1.00499,0.95265,0.95652,0.96199,0.62798,1.22651,0.67242,0.98894,0.0006536,0.0006536,0.0006536
70,237.502,1.0853,0.66501,1.00788,0.99674,1,0.995,0.62962,1.24932,0.65119,0.99665,0.0006338,0.0006338,0.0006338
71,241.048,1.17175,0.68926,1.05236,0.99559,1,0.995,0.67895,1.22065,0.64488,0.98861,0.000614,0.000614,0.000614
72,244.374,1.05141,0.63876,0.99283,0.95386,1,0.99333,0.61078,1.41697,0.72282,1.04707,0.0005942,0.0005942,0.0005942
73,247.514,1.02214,0.65247,0.98471,0.99348,1,0.995,0.61009,1.3245,0.75661,1.00649,0.0005744,0.0005744,0.0005744
74,250.759,0.99489,0.63615,0.981,0.99378,1,0.995,0.55759,1.48751,0.78182,1.07901,0.0005546,0.0005546,0.0005546
75,254.29,1.11402,0.67443,1.00237,0.99769,1,0.995,0.57218,1.39795,0.69223,1.06244,0.0005348,0.0005348,0.0005348
76,257.678,0.98575,0.60891,0.97399,1,0.99139,0.995,0.60379,1.34092,0.70254,1.04584,0.000515,0.000515,0.000515
77,261.086,1.0257,0.61875,0.97334,0.95521,1,0.99333,0.63487,1.28724,0.67348,1.00737,0.0004952,0.0004952,0.0004952
78,264.765,1.07224,0.63238,1.00463,0.99144,0.95652,0.9918,0.6188,1.29448,0.69891,1.018,0.0004754,0.0004754,0.0004754
79,268.609,1.07037,0.64623,0.95163,0.99927,1,0.995,0.66355,1.26215,0.62039,1.00565,0.0004556,0.0004556,0.0004556
80,272.177,0.98051,0.583,0.9723,0.99754,1,0.995,0.63487,1.21982,0.61878,0.98138,0.0004358,0.0004358,0.0004358
81,275.681,1.08567,0.59575,1.00712,0.99642,1,0.995,0.64888,1.26723,0.62132,0.9977,0.000416,0.000416,0.000416
82,279.173,1.05806,0.61199,0.97821,0.99613,1,0.995,0.62455,1.32319,0.68251,1.01375,0.0003962,0.0003962,0.0003962
83,282.59,1.06442,0.62565,0.99167,0.98569,1,0.995,0.66076,1.26999,0.65362,0.97015,0.0003764,0.0003764,0.0003764
84,286.29,1.04479,0.62743,0.96893,0.99416,1,0.995,0.67422,1.15086,0.63755,0.94083,0.0003566,0.0003566,0.0003566
85,290.027,0.9626,0.5793,0.95796,0.99247,1,0.995,0.70078,1.08889,0.61404,0.91759,0.0003368,0.0003368,0.0003368
86,293.685,0.95573,0.56364,0.90132,0.99123,1,0.995,0.62825,1.30716,0.64667,1.0161,0.000317,0.000317,0.000317
87,297.316,1.01762,0.5836,0.96121,0.99602,1,0.995,0.65109,1.26063,0.63767,0.98599,0.0002972,0.0002972,0.0002972
88,300.572,1.03916,0.58489,0.95554,0.99582,1,0.995,0.63762,1.31126,0.63587,0.99512,0.0002774,0.0002774,0.0002774
89,303.742,1.00355,0.59473,0.96355,0.99496,1,0.995,0.5912,1.41406,0.6494,1.02879,0.0002576,0.0002576,0.0002576
90,306.902,1.05519,0.58439,0.99064,0.9956,1,0.995,0.6511,1.28641,0.61679,0.98552,0.0002378,0.0002378,0.0002378
91,312.001,1.0018,0.54821,0.95476,0.99619,1,0.995,0.63367,1.34617,0.64371,1.03204,0.000218,0.000218,0.000218
92,315.438,1.01723,0.56044,0.95503,0.99639,1,0.995,0.61407,1.37562,0.64476,1.03123,0.0001982,0.0001982,0.0001982
93,318.764,0.90963,0.52486,0.94444,0.99632,1,0.995,0.64538,1.32652,0.64784,1.01439,0.0001784,0.0001784,0.0001784
94,322.155,0.90767,0.52914,0.93738,0.99741,1,0.995,0.61479,1.35258,0.64363,1.02839,0.0001586,0.0001586,0.0001586
95,325.734,0.89948,0.51576,0.94012,0.99669,1,0.995,0.63658,1.31775,0.61851,1.01109,0.0001388,0.0001388,0.0001388
96,329.257,0.9083,0.52522,0.9573,0.99739,1,0.995,0.63784,1.29038,0.60755,0.99427,0.000119,0.000119,0.000119
97,332.67,0.91248,0.52324,0.94185,0.998,1,0.995,0.64295,1.29801,0.61138,0.99564,9.92e-05,9.92e-05,9.92e-05
98,336.09,0.91858,0.51951,0.9453,0.99865,1,0.995,0.63355,1.33123,0.62633,1.01676,7.94e-05,7.94e-05,7.94e-05
99,339.49,0.87602,0.50191,0.92686,0.99893,1,0.995,0.64187,1.33692,0.6263,1.02086,5.96e-05,5.96e-05,5.96e-05
100,342.724,0.9123,0.51776,0.9457,0.99861,1,0.995,0.64144,1.30648,0.61772,1.00599,3.98e-05,3.98e-05,3.98e-05
